question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
五つ,いつつ,"다섯, 다섯 살",five things,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いつも,いつも,"언제나, 늘, 항상","always, usually, every time, never (with neg. verb)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
犬,いぬ,"강아지, 개",dog,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
今,いま,"지금, 이제, 인제",now,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
意味,いみ,"의미, 뜻, 상스","meaning, significance",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
妹,いもうと,여동생,younger sister (humble),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
嫌,いや,싫음,"disagreeable, detestable, unpleasant",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
入口,いりぐち,"입구, 초입, 첫머리",entrance,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
居る,いる,있다,"(humble) to be (animate), to exist",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
要る,いる,필요하다,to need,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
入れる,いれる,"넣다, 담다, 들이다",to put in,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
色,いろ,"색, 색깔",color,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
色々,いろいろ,여러 가지,various,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
上,うえ,"위, 상, 겉","above (up, top, etc.), over, on top of",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
後ろ,うしろ,"뒤, 뒤쪽","back, behind, rear",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
薄い,うすい,"얇다, 엷다, 연하다","thin, weak",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
歌,うた,"노래, 가요",a song,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
歌う,うたう,"노래하다, 부르다",to sing,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
うち,うち,"집, 안, 속",home; house; my place,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
生まれる,うまれる,"태어나다, 성립하다, 보른",to be born,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
海,うみ,바다,"sea, beach",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
売る,うる,팔다,to sell (v.t.),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
うるさい,うるさい,"시끄럽다, 귀찮다",noisy; annoying,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
上着,うわぎ,"겉옷, 윗도리, 상의","coat, jacket",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
絵,え,그림,a painting; a picture; a drawing,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
映画,えいが,영화,"movie, film",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
映画館,えいがかん,"영화관, 극장","movie theater, cinema",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
英語,えいご,"영어, 영어학전공",English (language),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
ええ,ええ,"네, 예",yes,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
駅,えき,역,station,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
エレベーター,エレベーター,"엘리베이터, 승강기",elevator,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～円,～えん,"엔, 원형, 동그라미",Yen,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
鉛筆,えんぴつ,연필,pencil,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お～,お～,엇,honorable ~ (honorific),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
美味しい,おいしい,맛있다,"delicious, tasty",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
多い,おおい,많다,many; there are a lot,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
大きい,おおきい,"크다, 저명한, 대족","big, large",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
大きな,おおきな,큰,big,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
大勢,おおぜい,"대세, 많은 사람, 여럿",great number of people,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お母さん,おかあさん,"어머니, 엄마",mother (formal),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お菓子,おかし,과자,"confections, sweets, snack",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お金,おかね,돈,money,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
起きる,おきる,일어나다,"to get up (e.g., from sleeping); to happen",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
置く,おく,"두다, 놓다",to put; to lay; to place,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
奥さん,おくさん,"부인, 아주머니",(someone else's) wife (hon.),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お酒,おさけ,술,sake; alcohol,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お皿,おさら,접시,"plate, dish",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
伯父; 叔父さん,おじさん,"백부, 큰아버지, 외숙부","uncle, middle-aged man",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
おじいさん,おじいさん,할아버지,"grandfather, male senior citizen",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
教える,おしえる,가르치다,"to teach, to inform, to instruct",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
押す,おす,"누르다, 밀다","to push, to press, to stamp (e.g., a passport)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
遅い,おそい,"늦다, 느리다, 더디다",slow; (to be) late,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お茶,おちゃ,차,(green) tea,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お手洗い,おてあらい,화장실,"toilet, restroom, bathroom (lit., a place to wash one's hands)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お父さん,おとうさん,"아버지, 아빠, 부친",father (formal),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
弟,おとうと,남동생,younger brother,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
男,おとこ,"남자, 사나이, 사내","man, male",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
男の子,おとこのこ,"사내아이, 남자아이, 젊은 남자",boy,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
一昨日,おととい,"엊그제, 그저께",the day before yesterday,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
おととし,おととし,재작년,year before last,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
大人,おとな,어른,adult,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お腹,おなか,"배, 속",stomach,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
同じ,おなじ,"같음, 이왕","same, identical",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お兄さん,おにいさん,"형, 오빠",(someone else's) older brother (formal),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お姉さん,おねえさん,"누나, 언니",older sister (formal),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
伯母さん; 叔母さん,おばさん,"이모, 숙모",aunt,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
おばあさん,おばあさん,할머니,"grandmother, female senior-citizen",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お風呂,おふろ,"목욕, 목욕탕, 욕실",a bath,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
お弁当,おべんとう,도시락,a boxed lunch,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
覚える,おぼえる,"느끼다, 기억하다, 외우다","to learn, to commit to memory, to remember, to memorize",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
おまわりさん,おまわりさん,"경찰, 경찰관",policeman (friendly term),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
重い,おもい,"무겁다, 색깔이 짙은, 헤비",heavy; serious,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
面白い,おもしろい,"재미있다, 재밌다, 맛깔짐","interesting, amusing",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
泳ぐ,およぐ,헤엄치다,to swim,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
降りる,おりる,"내리다, 내려가다, 내려오다",to get off,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
終る,おわる,끝나다,"to finish, to close",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
音楽,おんがく,음악,Music,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
女,おんな,여자,"woman, female",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
女の子,おんなのこ,"여자아이, 젊은 여자",girl,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～回,～かい,"회, 번",counter for occurrences (~ times),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～階,～かい,"계단, 층",counter for stories (floors) of a building,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
外国,がいこく,외국,foreign country; abroad,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
外国人,がいこくじん,외국인,foreigner,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
会社,かいしゃ,"회사, 의 회사, 공개 기업","company, corporation",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
階段,かいだん,"계단, 에스캘리어",stairs,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
買い物,かいもの,"쇼핑, 물건",shopping,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
買う,かう,사다,to buy,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
返す,かえす,"돌려주다, 갚다",to return something,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
帰る,かえる,"돌아가다, 돌아오다","to go back, to go home, to return",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
顔,かお,얼굴,face (body part),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
かかる,かかる,"걸리다, 들다, 들어가다","it takes (amount of time, money) (v.i.)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
鍵,かぎ,열쇠,a lock; a key,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
書く,かく,쓰다,to write,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
学生,がくせい,학생,student,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～か月,～かげつ,~개월,(number of) months,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
掛ける,かける,"걸다, 늘어뜨리다, 채우다","to put on (e.g., glasses); to hang (e.g., on a wall)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
かける,かける,"빠지다, 모자라다, 걸다","to dial/call (e.g., phone); to sit down",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
傘,かさ,우산,"umbrella, parasol",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
貸す,かす,"빌려주다, 대출하다",to lend,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
風,かぜ,바람,"wind, breeze",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
風邪,かぜ,감기,"cold, flu",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
方,かた,"분, 쪽, 방향",-- honorific form for 人 (ひと) --; way of doing,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
家族,かぞく,"가족, 식구, 패밀리 멤버","family, members of a family",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
片仮名,かたかな,"가타카나, 가타가나 인쇄 기구",katakana,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～月,～がつ,"월, 날, 달",month of year,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
学校,がっこう,학교,a school,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
カップ,カップ,"컵, 잔",cup,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
家庭,かてい,"가정, 벽로 대석, 재받이돌",home; family,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
角,かど,"뿔, 모퉁이, 각","corner (e.g., desk, pavement)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
かばん,かばん,가방,"bag, basket",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
花瓶,かびん,"꽃병, 화병",(flower) vase,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
かぶる,かぶる,"뒤집어쓰다, 쓰다","to wear, to put on (e.g., a hat on the head)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
紙,かみ,종이,paper,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
カメラ,カメラ,카메라,camera,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
火曜日,かようび,화요일,Tuesday,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
辛い,からい,맵다,hot and spicy; salty,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
体,からだ,"몸, 겉모양, 모습",body; health,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
借りる,かりる,"빌리다, 꾸다, 대출하다","to borrow, to owe",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～がる,～がる,~가루,feel,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
軽い,かるい,가볍다,"light, non-serious, minor",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
カレー,カレー,카레,curry (abbr. for curry and rice),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
カレンダー,カレンダー,"달력, 칼란더",calendar,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
川; 河,かわ,"강, 하천",river,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～側,～がわ,"옆, 곁, 둘레",~ side,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
可愛い,かわいい,귀엽다,"cute, adorable",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
漢字,かんじ,한자,kanji; Chinese character,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
木,き,나무,"tree, wood, timber",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
黄色,きいろ,"황색, 노란색, 노랑",yellow,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
黄色い,きいろい,"노랗다, 누렇다",yellow,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
消える,きえる,"사라지다, 꺼지다, 지다","to vanish, to disappear",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
聞く,きく,듣다,"to hear, to listen, to ask",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
北,きた,"북쪽, 북",north,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
ギター,ギター,기타,guitar,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
汚い,きたない,"더럽다, 지저분하다, 다운앤드더티","dirty, unclean, filthy",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
喫茶店,きっさてん,"찻집, 다방, 그늘집",café,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
切手,きって,"수표, 우표",postal (postage) stamps,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
切符,きっぷ,"표, 차표",a ticket,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
昨日,きのう,"어제, 어저께",yesterday,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
九,きゅう,"아홉, 구",nine,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
牛肉,ぎゅうにく,"쇠고기, 소고기",beef,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
牛乳,ぎゅうにゅう,"우유, 전지유, 전지우유",milk,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
今日,きょう,"오늘, 금일, 오늘날","today, this day",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
教室,きょうしつ,"교실, 교육실, 일반교실",classroom,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
兄弟,きょうだい,"형제, 남매","siblings (humble), brothers and sisters",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
去年,きょねん,"작년, 지난해",last year,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
嫌い,きらい,싫어함,dislike,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
切る,きる,"자르다, 베다, 끊다",to cut; to hang up (a phone),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
着る,きる,"입다, 슬립 온",to put on (clothes above your waist); to wear,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
綺麗,きれい,예쁨,"pretty, clean, tidy",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
キロ; キログラム,キロ; キログラム,"킬로, 키로, 킬로그램",(abbr.) kilo (kilogram),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
キロ; キロメートル,キロ; キロメートル,"킬로, 키로, 킬로미터",(abbr.) kilo (kilometer),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
銀行,ぎんこう,"은행, 은행법",bank,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
金曜日,きんようび,금요일,Friday,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
薬,くすり,약,medicine,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
下さい,ください,주십시오.,(with te-form verb) please do for me,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
果物,くだもの,"과일, 과실, 뜻밖의 횡재",fruit,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
口,くち,입,job opening; mouth,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
靴,くつ,"신발, 구두","shoes, footwear",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
靴下,くつした,양말,socks,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
国,くに,나라,country; place of origin,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
曇り,くもり,흐림,"cloudiness, cloudy weather",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
曇る,くもる,"흐리다, 흐려지다, 어두워지다","to become cloudy, to become dim",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
暗い,くらい,어둡다,"dark, gloomy",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～くらい; ぐらい,～くらい; ぐらい,"지위, 자리, 정도",approximate (quantity),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
クラス,クラス,"학급, 등급, 반",a class,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
グラム,グラム,"그램, 그람",gram,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
来る,くる,"오다, 다가오다, 찾아오다",to come,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
車,くるま,차,"car, vehicle",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
黒,くろ,"검정, 껌정",black,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
黒い,くろい,"검다, 까맣다, 꺼멓다",black; dark,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
警官,けいかん,"경관, 경찰관, 평제",police officer,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
今朝,けさ,오늘 아침,this morning,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
消す,けす,"지우다, 끄다, 블럭 아웃","to erase, to delete, to turn off power",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
結構,けっこう,"훌륭함, 괜찮음","splendid; enough, tolerably",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
結婚,けっこん (する),"결혼, 성직자의 특권, 혼인 계약",marriage (get married),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
月曜日,げつようび,월요일,Monday,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
玄関,げんかん,"현관, 현관문",entrance (to a house or a building),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
元気,げんき,"원기, 기운, 기력","health(y), energetic",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
～個,～こ,"개인, 개","counter for small items (e.g., fruits, cups)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
五,ご,"다섯, 오",five,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
