question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
Y-패스트 트라이란 무엇인가요?,What is a y-fast trie?,"y-패스트 트라이는 유한한 도메인에서 정수를 저장하기 위한 데이터 구조입니다. 이 구조는 O(log log M) 시간 내에 정확한 쿼리와 이전 쿼리 또는 후속 쿼리를 지원하며, 여기서 n은 저장된 값의 수이고 M은 도메인의 최대값입니다. 이 구조는 1982년 댄 윌라드에 의해 x-패스트 트라이가 사용하는 O(n log M) 공간을 줄이기 위해 제안되었습니다.","A y-fast trie is a data structure for storing integers from a bounded domain. It supports exact and predecessor or successor queries in time O(log log M), using O(n) space, where n is the number of stored values and M is the maximum value in the domain. The structure was proposed by Dan Willard in 1982 to decrease the O(n log M) space used by an x-fast trie.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
엑스패스트 트라이란 무엇인가요?,What is an x-fast trie?,"x-패스트 트라이(x-fast trie)는 유한한 도메인에서 정수를 저장하기 위한 데이터 구조입니다. 이 구조는 O(n log M) 공간을 사용하여 O(log log M) 시간 내에 정확한 쿼리와 이전 쿼리 또는 후속 쿼리를 지원합니다. 여기서 n은 저장된 값의 수이고 M은 도메인의 최대값입니다. 이 구조는 1982년 댄 윌라드(Dan Willard)에 의해 제안되었으며, 더 복잡한 y-패스트 트라이와 함께 반 엠데 보아스 트리의 공간 사용을 개선하면서 O(log log M) 쿼리 시간을 유지하기 위한 방법입니다.","An x-fast trie is a data structure for storing integers from a bounded domain. It supports exact and predecessor or successor queries in time O(log log M), using O(n log M) space, where n is the number of stored values and M is the maximum value in the domain. The structure was proposed by Dan Willard in 1982, along with the more complicated y-fast trie, as a way to improve the space usage of van Emde Boas trees, while retaining the O(log log M) query time.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
반 엠데 보아스 나무란 무엇인가요?,What is a van Emde Boas tree?,"The van Emde Boas tree supports insertions, deletions, lookups, successor queries, and predecessor queries in time O(log log U), where U is the universe of items to store. Items are stored in clusters of size sqrt(U). 

The van Emde Boas data structure divides the range {0,...,n−1} into blocks of size sqrt(n), which we call clusters. Each cluster is itself a vEB structure of size sqrt(n). In addition, there is a “summary” structure that keeps track of which clusters are nonempty.

More detail:
A van Emde Boas tree (or van Emde Boas priority queue), also known as a vEB tree, is a tree data structure which implements an associative array with m-bit integer keys. It performs all operations in O(log m) time, or equivalently in O(log log M) time, where M = 2m is the maximum number of elements that can be stored in the tree. The M is not to be confused with the actual number of elements stored in the tree, by which the performance of other tree data-structures is often measured. The vEB tree has good space efficiency when it contains a large number of elements, as discussed below. It was invented by a team led by Dutch computer scientist Peter van Emde Boas in 1975.","The van Emde Boas tree supports insertions, deletions, lookups, successor queries, and predecessor queries in time O(log log U), where U is the universe of items to store. Items are stored in clusters of size sqrt(U). 

The van Emde Boas data structure divides the range {0,...,n−1} into blocks of size sqrt(n), which we call clusters. Each cluster is itself a vEB structure of size sqrt(n). In addition, there is a “summary” structure that keeps track of which clusters are nonempty.

More detail:
A van Emde Boas tree (or van Emde Boas priority queue), also known as a vEB tree, is a tree data structure which implements an associative array with m-bit integer keys. It performs all operations in O(log m) time, or equivalently in O(log log M) time, where M = 2m is the maximum number of elements that can be stored in the tree. The M is not to be confused with the actual number of elements stored in the tree, by which the performance of other tree data-structures is often measured. The vEB tree has good space efficiency when it contains a large number of elements, as discussed below. It was invented by a team led by Dutch computer scientist Peter van Emde Boas in 1975.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
압축 트라이란 무엇인가요?,What is a compressed trie?,비가지 경로가 하나의 가장자리로 압축된 트라이입니다.,It's a trie where the non-branching paths are compacted into a single edge.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
해시 테이블에서는 어떤 키의 관계를 잃나요?,What relationship of the keys do you lose with a hash table?,열쇠의 순서.,The ordering of the keys.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
공백으로 구분된 파일을 새 줄로 변환한 다음 알파벳순으로 정렬하라는 명령입니다.,"Sed command to take a file separated by spaces, turn spaces into newlines, and then sort it alphabetically.",sed's/ /\n/g'words.txt | 정렬,sed 's/ /\n/g' words.txt | sort,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
"Print columns 2, 3, and 6 from the date command.","Print columns 2, 3, and 6 from the date command.","date | awk '{print $2, $3, $6}'","date | awk '{print $2, $3, $6}'",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
파일을 :로 구분하여 탭 구분으로 만듭니다.,Take a file delimited by : and make it tab-delimited.,고양이 /etc/passwd | sed 's/:/\\t/g',cat /etc/passwd | sed 's/:/\t/g',2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
줄 번호가 있는 파일을 출력합니다.,Output a file with line numbers.,고양이 -n 썸파일,cat -n somefile,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
퀵소트는 안정적인가요?,Is quicksort stable?,아니요.,No.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
퀵소트를 제자리에서 할 수 있나요?,Can quicksort be done in-place?,네.,Yes.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Merge Sort을 제자리에서 수행할 수 있나요?,Can merge sort be done in-place?,아니요. O(n) 공간이 필요합니다. 제자리 버전이 있나요?,No. It requires O(n) space. There is an in-place version?,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Merge Sort이 안정적인가요?,Is merge sort stable?,네.,Yes.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Insertion Sort이 안정적인가요?,Is insertion sort stable?,네.,Yes.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Insertion Sort을 제자리에서 할 수 있나요?,Can insertion sort be done in-place?,네.,Yes.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Selection Sort을 제자리에서 할 수 있나요?,Can selection sort be done in-place?,네.,Yes.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
선택 항목이 안정적인가요?,Is selection sort stable?,아니요.,No.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Heap Sort은 안정적인가요?,Is heap sort stable?,아니요.,No.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Heap Sort을 제자리에서 할 수 있나요?,Can heap sort be done in-place?,네.,Yes.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
어떤 경우에 완벽한 해싱이 실용적일까요?,In what case would perfect hashing be practical?,삽입이나 삭제를 지원할 필요가 없을 때. 데이터는 정적입니다.,When you don't need to support inserts or deletes. The data is static.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
완벽한 해싱은 충돌을 어떻게 처리하나요?,How does perfect hashing handle collisions?,두 번째 해시 함수와 k^2 공간을 사용하여 여러 항목(k)이 있는 버킷에 두 번째 해시 테이블을 생성합니다. 해시 테이블에는 두 가지 해시 레벨이 있습니다. k^2는 마르코프 부등식(생일 역설)이 버킷에서 충돌이 발생하지 않도록 보장하기 때문에 선택됩니다.,"It creates a second hash table in the buckets where there are multiple items (k), using a second hash function, and k^2 space. The hash table has two hashing levels. k^2 is chosen because the Markov inequality (birthday paradox) ensures we will not have collisions in bucket.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
해시 테이블의 최적 부하 계수는 무엇인가요?,What is the optimal load factor for a hash table?,O(sqrt(n)),O(sqrt(n)),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
해시 테이블의 예상 부하 계수는 얼마인가요?,What is the expected load factor for a hash table?,"n/m, 여기서 n = 항목, m = 버킷) n/m은 알파라고도 불립니다.","n/m,  where n = items, m = buckets) n/m is also called alpha.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
해시 테이블에서 작업의 기술적 실행 시간은 어떻게 되나요?,What is the technical running time for operations on a hash table?,"O(1 + alpha), 여기서 alpha는 하중 계수(n/m)입니다. 테이블 더블링 연산은 상각됩니다.","O(1 + alpha), where alpha is the load factor (n/m). Table doubling operations are amortized.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
완벽한 해싱의 최악의 검색 시간은 언제인가요?,What is the worst-case search time of perfect hashing?,O(1),O(1),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
완벽한 해싱을 위해 필요한 최악의 공간은 무엇인가요?,What is the worst-case space required for perfect hashing?,O(n),O(n),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
이진 검색의 가장 좋은 실행 시간은 언제인가요?,What's the best-case running time of binary search?,O(1) - 운이 좋게도 중간 지점에서 요소를 찾습니다.,O(1) - we get lucky and find the element right at the midpoint.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
이진 검색의 최악의 실행 시간은 언제인가요?,What's the worst-case running time of binary search?,O(로그 n),O(log n),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
인접 행렬을 사용하여 그래프를 표현하는 것의 단점은 무엇인가요?,What are the downsides of using an adjacency matrix to represent a graph?,"정점에서 나가는 모든 간선을 찾는 데는 O(n) 시간이 걸리고, n^2보다 훨씬 적은 간선을 가진 ""희소 그래프""의 경우 O(n^2) 공간 비용이 높습니다.","Finding all the outgoing edges from a vertex takes O(n) time even if there aren't very many, and the O(n^2) space cost is high for ""sparse graphs,"" those with much fewer than n^2 edges.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
인접 목록을 사용하는 것은 언제 비용이 많이 드나요?,When is using an adjacency list expensive?,"노드 u의 이전 노드를 찾는 것은 매우 비용이 많이 들기 때문에 O(n + e) 시간 내에 모든 노드 목록을 살펴봐야 합니다. 여기서 e는 총 엣지 수를 의미하지만, 실제로 자주 해야 하는 작업이라면 엣지가 반전된 두 번째 그래프 사본을 저장할 수 있습니다.","Finding predecessors of a node u is extremely expensive, requiring looking through every list of every node in time O(n + e), where e is the total number of edges, although if this is something we actually need to do often we can store a second copy of the graph with the edges reversed.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
인접 목록은 언제 가장 유용하나요?,When are adjacency lists most useful?,"인접 목록은 주로 각 노드의 나가는 간선을 열거하고자 할 때 가장 유용합니다. 이는 한 노드에서 다른 노드로 가는 경로를 찾거나 노드 쌍 간의 거리를 계산하는 검색 작업에서 흔히 볼 수 있습니다. 다른 작업이 중요한 경우 인접 목록 표현을 보강하여 최적화할 수 있습니다. 예를 들어, 인접 목록에 정렬된 배열을 사용하면 간선 존재 테스트 비용을 O(log(d+(u))로 줄이고, 간선이 반대인 그래프의 두 번째 복사본을 추가하면 O(d-(u)) 시간 내에 u의 모든 선행 변수를 찾을 수 있습니다. 여기서 d-(u)는 u의 차수입니다.","Adjacency lists are most useful when we mostly want to enumerate outgoing edges of each node. This is common in search tasks, where we want to find a path from one node to another or compute the distances between pairs of nodes. If other operations are important, we can optimize them by augmenting the adjacency list representation; for example, using sorted arrays for the adjacency lists reduces the cost of edge existence testing to O(log(d+ (u))), and adding a second copy of the graph with reversed edges lets us find all predecessors of u in O(d− (u)) time, where d− (u) is u's in-degree.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
인접 목록을 사용하는 그래프에 필요한 공간은 무엇인가요?,What is the space required for a graph using an adjacency list?,O(n + e),O(n + e),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
4비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,What's the maximum unsigned number you can represent with 4 bits?,15,15,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
8비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,What's the maximum unsigned number you can represent with 8 bits?,255,255,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
16비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,What's the maximum unsigned number you can represent with 16 bits?,"65,535","65,535",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
6비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,What's the maximum unsigned number you can represent with 6 bits?,63,63,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
15비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,What's the maximum unsigned number you can represent with 15 bits?,"32,767","32,767",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
4비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,What's the maximum signed number you can represent with 4 bits?,7,7,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
16비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,What's the maximum signed number you can represent with 16 bits?,"32,767","32,767",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
8비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,What's the maximum signed number you can represent with 8 bits?,127,127,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
9비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,What's the maximum signed number you can represent with 9 bits?,255,255,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
32비트로 표현할 수 있는 최대 부호 없는 숫자는 얼마인가요?,What's the maximum unsigned number you can represent with 32 bits?,"42억 9,400만",4.294 Billion,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
32비트로 표현할 수 있는 최대 부호 수는 얼마인가요?,What's the maximum signed number you can represent with 32 bits?,"21억 4,700만",2.147 Billion,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
밑 b가 주어졌을 때 숫자 n의 로그는 어떻게 구할 수 있나요?,How do you get the logarithm of a number n given a base b?,숫자 <= 1이 될 때까지 n을 b로 계속 나눕니다.,Keep dividing n by b until you get to a number <= 1.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
