question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
What is lexical analysis?,어휘 분석이란 무엇인가요?,The process of dividing program text into words or tokens.,프로그램 텍스트를 단어나 토큰으로 나누는 과정.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is code generation?,코드 생성이란 무엇인가요?,Producing a translation from a high-level program to assembly code. (Linker and Archiver taker over from here to produce machine code),고급 프로그램에서 어셈블리 코드로의 번역을 생성합니다. (Linker와 Archiver가 여기서 기계 코드를 생성합니다.),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
4 * 16,4 * 16,64,64,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2 ^ 4,2 ^ 4,16,16,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^3,2^3,8,8,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^5,2^5,32,32,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^6,2^6,64,64,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^7,2^7,128,128,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^8,2^8,256,256,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^9,2^9,512,512,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^10,2^10,1024,1024,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^11,2^11,2048,2048,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^12,2^12,4096,4096,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^13,2^13,8192,8192,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^14,2^14,"16,384","16,384",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^15,2^15,"32,768","32,768",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^32,2^32,4.294 Billion,"42억 9,400만",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of char in bits,비트 단위의 char 크기,8 bits,8비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of char in bytes,문자 크기(바이트 단위),1 byte,1바이트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of bool in bits,비트 단위의 bool 크기,8 bits,8비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of short in bits,비트 단위의 short 크기,"16 bits (at least), and 16 commonly","16비트(최소), 일반적으로 16비트",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of short in bytes,바이트 단위의 short 크기,"2 bytes, and 2 bytes commonly","2바이트, 일반적으로 2바이트",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of int in bits,size of int in bits,"32 bits commonly, at least 16 bits","일반적으로 32비트, 최소 16비트",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of int in bytes,size of int in bytes,"4 bytes commonly, at least 2 bytes","일반적으로 4바이트, 최소 2바이트",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of long in bits,비트 단위의 long 크기,"32 (at least, 32 commonly), 64 on LP64","32(최소, 일반적으로 32), 64(LP64)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of long in bytes,바이트 단위의 long 크기,"4 bytes, (at least 4, and commonly 4), 8 on LP64","4바이트, (최소 4바이트, 일반적으로 4바이트), LP64에서 8바이트",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of long long in bits,비트 단위로 long long의 크기,64 bits,64비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of long long in bytes,바이트 단위로 long 크기,8 bytes,8바이트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of float in bits,비트 단위 플로트 크기,32 bits,32비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of float in bytes,플로트 크기(바이트),4 bytes,4바이트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of double in bits,비트 단위의 두 배 크기,64 bits,64비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of double in bytes,바이트 단위의 두 배 크기,8 bytes,8바이트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of wchar_t in bits,비트 단위 wchar_t 크기,16 bits,16비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
size of wchar_t in bytes,바이트 단위의 wchar_t 크기,2 bytes,2바이트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Write a function that reverses a linked list, with this argument: pointer to pointer to the head node.",연결된 목록을 뒤집는 함수를 작성하세요. 이 인수는 다음과 같습니다: 포인터에서 포인터로 헤드 노드로.,"void reverse(node_t **head) {
  node_t *prev = NULL;
  node_t *current = *head;
  node_t *next = *head;

  while (current) {
    next = current->next;
    current->next = prev;
    prev = current;
    current = next;
  }

  *head = prev;
}","void reverse(node_t **head) {
  node_t *prev = NULL;
  node_t *current = *head;
  node_t *next = *head;

  while (current) {
    next = current->next;
    current->next = prev;
    prev = current;
    current = next;
  }

  *head = prev;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Delete a given value from a BST rooted at given node. Returns a pointer to node.,주어진 노드에 루트를 둔 BST에서 주어진 값을 삭제합니다. 노드에 포인터를 반환합니다.,"bst_node* delete_value(bst_node* node, int value) {
  if (node == NULL)
    return node;

  if (value < node->value) {
    node->left = delete_value(node->left, value);
  } else if (value > node->value) {
    node->right = delete_value(node->right, value);
  } else { // found value

    if (node->left == NULL && node->right == NULL) {
      free(node);
      node = NULL;
    } else if (node->left == NULL) {
      bst_node* temp = node;
      node = node->right;
      free(temp);
    } else if (node->right == NULL) {
      bst_node* temp = node;
      node = node->left;
      free(temp);
    } else {
      // 2 children - get min node of right subtree
      int right_min = get_min(node->right);
      node->value = right_min;
      node->right = delete_value(node->right, right_min);
    }
  }

  return node;
}","bst_node* delete_value(bst_node* node, int value) {
  if (node == NULL)
    return node;

  if (value < node->value) {
    node->left = delete_value(node->left, value);
  } else if (value > node->value) {
    node->right = delete_value(node->right, value);
  } else { // found value

    if (node->left == NULL && node->right == NULL) {
      free(node);
      node = NULL;
    } else if (node->left == NULL) {
      bst_node* temp = node;
      node = node->right;
      free(temp);
    } else if (node->right == NULL) {
      bst_node* temp = node;
      node = node->left;
      free(temp);
    } else {
      // 2 children - get min node of right subtree
      int right_min = get_min(node->right);
      node->value = right_min;
      node->right = delete_value(node->right, right_min);
    }
  }

  return node;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Get the successor of a value in a BST rooted by given node. Returns int.,주어진 노드에 루트를 둔 BST 값의 후속 값을 가져옵니다. int를 반환합니다.,"int get_successor(bst_node* node, int value) {
  if (node == NULL)
    return -1;

  bst_node* target = node;

  while (target->value != value) {
    if (value < target->value) {
      target = target->left;
    } else if (value > target->value) {
      target = target->right;
    }
  }

  // arrived at target node
  if (target->right != NULL) {
    // get min value of right subtree
    return get_min(target->right);
  } else {
    // get lowest ancestor that is a left child in the path to target value
    bst_node* successor = NULL;
    bst_node* ancestor = node;
    while (ancestor != NULL) {
      if (value < ancestor->value) {
        successor = ancestor;
        ancestor = ancestor->left;
      } else {
        ancestor = ancestor->right;
      }
    }

    return successor->value;
  }

}","int get_successor(bst_node* node, int value) {
  if (node == NULL)
    return -1;

  bst_node* target = node;

  while (target->value != value) {
    if (value < target->value) {
      target = target->left;
    } else if (value > target->value) {
      target = target->right;
    }
  }

  // arrived at target node
  if (target->right != NULL) {
    // get min value of right subtree
    return get_min(target->right);
  } else {
    // get lowest ancestor that is a left child in the path to target value
    bst_node* successor = NULL;
    bst_node* ancestor = node;
    while (ancestor != NULL) {
      if (value < ancestor->value) {
        successor = ancestor;
        ancestor = ancestor->left;
      } else {
        ancestor = ancestor->right;
      }
    }

    return successor->value;
  }

}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Using recursion, insert a value into a tree: root = insert(node*, int)","재귀를 사용하여 값을 트리에 삽입합니다: 루트 = 삽입(노드*, int)","bst_node* insert(bst_node* node, const int value) {
  if (node == 0) {
    bst_node* new_node = malloc(sizeof(bst_node));
    if (new_node == NULL) {
      printf(""Unable to allocate memory."");
      exit(0);
    }

    new_node->value = value;
    new_node->left = 0;
    new_node->right = 0;

    node = new_node;

    return node;
  }

  if (value < node->value) {
    node->left = insert(node->left, value);
  } else if (value > node->value) {
    node->right = insert(node->right, value);
  }

  return node;
}","bst_node* insert(bst_node* node, const int value) {
  if (node == 0) {
    bst_node* new_node = malloc(sizeof(bst_node));
    if (new_node == NULL) {
      printf(""Unable to allocate memory."");
      exit(0);
    }

    new_node->value = value;
    new_node->left = 0;
    new_node->right = 0;

    node = new_node;

    return node;
  }

  if (value < node->value) {
    node->left = insert(node->left, value);
  } else if (value > node->value) {
    node->right = insert(node->right, value);
  }

  return node;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Using an iterative approach, insert a value into a BST: insert(node*, int)","반복 접근 방식을 사용하여 BST에 값을 삽입합니다: insert(노드*, int)","void treeInsert(bst_node* node, int key) {
  bst_node* new_node;
  new_node = malloc(sizeof(*new_node));
  assert(new_node);

  new_node->key = key;
  new_node->left = 0;
  new_node->right = 0;

  while (1) {
    if (node->key > key) {
      if (node->left) {
        node = node->left;
      } else {
        node->left = new_node;
        return;
      }
    } else {
      if (node->right) {
        node = node->right;
      } else {
        node->right = new_node;
        return;
      }
    }
  }
}","void treeInsert(bst_node* node, int key) {
  bst_node* new_node;
  new_node = malloc(sizeof(*new_node));
  assert(new_node);

  new_node->key = key;
  new_node->left = 0;
  new_node->right = 0;

  while (1) {
    if (node->key > key) {
      if (node->left) {
        node = node->left;
      } else {
        node->left = new_node;
        return;
      }
    } else {
      if (node->right) {
        node = node->right;
      } else {
        node->right = new_node;
        return;
      }
    }
  }
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a method is_binary_search_tree that returns true if a given tree is a BST (use helper function).,주어진 트리가 BST(도움 함수 사용)인 경우 참을 반환하는 메서드 is_binary_search_tree를 작성합니다.,"bool is_binary_search_tree(bst_node* node) {
  if (node == NULL) return true;

  return is_between(node, INT_MIN, INT_MAX);
}

bool is_between(bst_node* node, int min, int max) {
  if (node == NULL) return true;

  // ensure subtrees are not hiding a value lower or higher than the subtree
  // allows
  return node->value > min && node->value < max &&
         is_between(node->left, min, node->value) &&
         is_between(node->right, node->value, max);
}","bool is_binary_search_tree(bst_node* node) {
  if (node == NULL) return true;

  return is_between(node, INT_MIN, INT_MAX);
}

bool is_between(bst_node* node, int min, int max) {
  if (node == NULL) return true;

  // ensure subtrees are not hiding a value lower or higher than the subtree
  // allows
  return node->value > min && node->value < max &&
         is_between(node->left, min, node->value) &&
         is_between(node->right, node->value, max);
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Using an iterative approach, write a function find_node(bst_node* root, int target) that returns the node with the given target value in a BST.","Using an iterative approach, write a function find_node(bst_node* root, int target) that returns the node with the given target value in a BST.","bst_node* find_node(bst_node* root, int target) {
  while (root != NULL && root->key != target) {
    if (root->key > target) {
      root = root->left;
    } else {
      root = root->right;
    }
  }
  return root;
}","bst_node* find_node(bst_node* root, int target) {
  while (root != NULL && root->key != target) {
    if (root->key > target) {
      root = root->left;
    } else {
      root = root->right;
    }
  }
  return root;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Using an recursive approach, write a function: find_node(bst_node* node, int value) that returns the node with the given target value in a BST.","재귀적 접근 방식을 사용하여 주어진 목표 값을 가진 노드를 BST에서 반환하는 함수 find_node(bst_node* 노드, int 값)를 작성합니다.","bst_node* find_node(bst_node* node, int value) {
  if (node == NULL)
    return false;

  if (value < node->value) {
    return find_node(node->left, value);
  } else if (value > node->value) {
    return find_node(node->right, value);
  } else {
    return node;
  }
}","bst_node* find_node(bst_node* node, int value) {
  if (node == NULL)
    return false;

  if (value < node->value) {
    return find_node(node->left, value);
  } else if (value > node->value) {
    return find_node(node->right, value);
  } else {
    return node;
  }
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Function that returns the height (in nodes) of a BST: int get_height(bst_node* node),BST의 높이(노드 단위)를 반환하는 함수: int get_high(bst_node* 노드),"int get_height(bst_node* node) {
  if (node == NULL) {
    return 0;
  }

  return 1 + max_num(get_height(node->left), get_height(node->right));
}","int get_height(bst_node* node) {
  if (node == NULL) {
    return 0;
  }

  return 1 + max_num(get_height(node->left), get_height(node->right));
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many levels in a complete binary tree of size n?,크기가 n인 완전 이진 트리의 레벨은 몇 개인가요?,floor(1 + log(base2)(n)),바닥(1 + log(base2)(n)),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How can build heap be done in linear time?,힙을 선형 시간 내에 빌드하려면 어떻게 해야 하나요?,"A tree of size n nodes, will have floor(n/2^h) nodes with height >= h.
The last half of nodes will be leaves, so they already satisfy the heap property. No work needs to be done on them.
going bottom-up (ignoring the last n/2 items) and satisfying the heap property one level at a time, each level going up the tree has to do at most 1 operation more than the level below it. But as you go up the tree, higher levels have fewer nodes, so you may be doing more operations, but it happens on fewer number of times.
This resembles a series:

n/2 - height 1: 1 operations
n/4 - height 2: 2 operation
n/8 - height 3: 3 operations
...
going to floor(n/2^h) - height h: h operations

n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n","크기 n개의 노드를 가진 트리는 높이가 >= h인 바닥(n/2^h)개의 노드를 가질 것입니다.
노드의 마지막 절반은 리프가 되므로 이미 힙 속성을 만족합니다. 노드에 대한 작업을 수행할 필요가 없습니다.
상향식으로 올라가며(마지막 n/2 항목은 무시하고) 힙 속성을 한 번에 한 단계씩 만족시킵니다. 트리 위로 올라가는 각 레벨은 트리 아래 레벨보다 최대 1개 이상의 연산을 수행해야 합니다. 하지만 트리 위로 올라갈수록 더 높은 레벨의 노드 수가 줄어들어 더 많은 연산을 수행할 수 있지만, 이는 더 적은 횟수에 발생합니다.
이것은 시리즈와 비슷합니다:

n/2 - 높이 1: 작업 1
n/4 - 높이 2: 2 작동
n/8 - 높이 3: 3단계 작업
...
바닥으로 가기(n/2^h) - 높이 h: h 작업

n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
C or Python: Sort an array of numbers using heap sort.,C 또는 Python: Heap Sort을 사용하여 숫자 배열을 정렬합니다.,"void heap_sort(int* numbers, int count) {
  int temp;
  for (int i = count - 1; i > 0; --i) {
    temp = numbers[i];
    numbers[i] = numbers[0];
    numbers[0] = temp;

    percolate_down(numbers, i, 0);
  }
}

void heapify(int* numbers, int count) {
  for (int i = count / 2 - 1; i >= 0; --i) {
    percolate_down(numbers, count, i);
  }
}

void percolate_down(int* numbers, int count, int index) {
  while (index * 2 + 1 < count) {
    int swap_index = index;
    int left_child_index = index * 2 + 1;
    int right_child_index = index * 2 + 2;
    bool has_left_child = left_child_index < count;
    bool has_right_child = right_child_index < count;

    if (has_left_child && has_right_child) {
      if (numbers[left_child_index] > numbers[right_child_index]) {
        swap_index = left_child_index;
      } else {
        swap_index = right_child_index;
      }
    } else if (has_left_child) {
      swap_index = left_child_index;
    } else if (has_right_child) {
      swap_index = right_child_index;
    } else {
      break;
    }

    if (numbers[swap_index] > numbers[index]) {
      int temp = numbers[index];
      numbers[index] = numbers[swap_index];
      numbers[swap_index] = temp;

      index = swap_index;
    } else {
      break;
    }
  }
}","void heap_sort(int* numbers, int count) {
  int temp;
  for (int i = count - 1; i > 0; --i) {
    temp = numbers[i];
    numbers[i] = numbers[0];
    numbers[0] = temp;

    percolate_down(numbers, i, 0);
  }
}

void heapify(int* numbers, int count) {
  for (int i = count / 2 - 1; i >= 0; --i) {
    percolate_down(numbers, count, i);
  }
}

void percolate_down(int* numbers, int count, int index) {
  while (index * 2 + 1 < count) {
    int swap_index = index;
    int left_child_index = index * 2 + 1;
    int right_child_index = index * 2 + 2;
    bool has_left_child = left_child_index < count;
    bool has_right_child = right_child_index < count;

    if (has_left_child && has_right_child) {
      if (numbers[left_child_index] > numbers[right_child_index]) {
        swap_index = left_child_index;
      } else {
        swap_index = right_child_index;
      }
    } else if (has_left_child) {
      swap_index = left_child_index;
    } else if (has_right_child) {
      swap_index = right_child_index;
    } else {
      break;
    }

    if (numbers[swap_index] > numbers[index]) {
      int temp = numbers[index];
      numbers[index] = numbers[swap_index];
      numbers[swap_index] = temp;

      index = swap_index;
    } else {
      break;
    }
  }
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How are queues usually implemented?,대기열은 보통 어떻게 구현되나요?,Using a Circular Array or Singly Linked List.,원형 배열 또는 단일 링크 목록 사용.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How is a deque usually implemented?,데크는 보통 어떻게 구현되나요?,Using a Circular Array or Doubly Linked List.,원형 배열 또는 이중 링크 목록 사용하기.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would you swap 2 integers using only bitwise operations?,비트 단위 연산만을 사용하여 2개의 정수를 어떻게 교환하시겠습니까?,"a ^= b
b ^= a
a ^= b","a ^ = b
b ^ = a
a ^ = b",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would you turn ON the 3rd bit from the end in a bitstring?,비트 문자열에서 끝에서 세 번째 비트를 어떻게 켜시겠습니까?,x |= (1 << 2),x |= (1 < < 2),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would you turn OFF the 3rd bit from the end in a bitstring?,비트 문자열에서 끝에서 세 번째 비트를 어떻게 끄시겠습니까?,x &= ~(1 << 2);,x &= ~(1 << 2);,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a function that calculates the Hamming distance.,해밍 거리를 계산하는 함수를 작성하세요.,"def hamming_distance(x, y):  
    difference = x ^ y
    count = 0
    while difference != 0:
        count += 1
        difference &= difference - 1
    return count","def hamming_distance(x, y):  
    difference = x ^ y
    count = 0
    while difference != 0:
        count += 1
        difference &= difference - 1
    return count",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a function to calculate the Hamming weight of an integer. (Kernighan method),정수의 해밍 가중치를 계산하는 함수를 작성하세요. (커니건 방법),"int countSetBits(int n) {
  int count = 0;

  while (n) {
    n = n & (n - 1);
    ++count;
  }

  return count;
}","int countSetBits(int n) {
  int count = 0;

  while (n) {
    n = n & (n - 1);
    ++count;
  }

  return count;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a function that calculates the Hamming weight in constant time. Divide and Conquer strategy.,일정한 시간 내에 해밍 가중치를 계산하는 함수를 작성합니다. 나누기 및 정복 전략.,"int countSetBits(unsigned int n) {
  n = n - ((n >> 1) & 0x55555555);
  n = (n & 0x33333333) + ((n >> 2) & 0x33333333);
  n = (n + (n >> 4)) & 0x0F0F0F0F;
  n = n + (n >> 8);
  n = n + (n >> 16);

  return n & 0x0000003F;
}","int countSetBits(unsigned int n) {
  n = n - ((n >> 1) & 0x55555555);
  n = (n & 0x33333333) + ((n >> 2) & 0x33333333);
  n = (n + (n >> 4)) & 0x0F0F0F0F;
  n = n + (n >> 8);
  n = n + (n >> 16);

  return n & 0x0000003F;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Write a function that tells you if a number is even, using bitwise operation.",비트 단위 연산을 사용하여 숫자가 짝수인지 알려주는 함수를 작성하세요.,"def is_even(x):
    return x & 1 == 0","def is_even(x):
    return x & 1 == 0",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a function to add 2 integers using bitwise operations.,비트 단위 연산을 사용하여 정수 2개를 추가하는 함수를 작성하세요.,"def add(a, b):
    while a:
        c = b & a
        b ^= a
        c <<= 1
        a = c
    return b","def add(a, b):
    while a:
        c = b & a
        b ^= a
        c <<= 1
        a = c
    return b",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a function to get the sign of an integer.,정수의 부호를 구하는 함수를 작성하세요.,"def get_sign(x):
    return -(x < 0)","def get_sign(x):
    return -(x < 0)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a function to calculate the absolute value of a 32-bit integer.,32비트 정수의 절대값을 계산하는 함수를 작성하세요.,"def myabs(x):
    high_bit_mask = x >> 31
    return (x ^ high_bit_mask) - high_bit_mask","def myabs(x):
    high_bit_mask = x >> 31
    return (x ^ high_bit_mask) - high_bit_mask",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Write a binary search function that works iteratively, taking a target int, array of ints, and size of the array, returning the index of the found item, or -1.","반복적으로 작동하는 이진 검색 함수를 작성하여 목표 인트, 인트 배열, 배열 크기를 가져와서 찾은 항목의 인덱스를 반환하거나 -1을 반환합니다.","int binary_search(int target, int numbers[], int size) {
  int low = 0;
  int high = size - 1;
  int mid = 0;
  while (low <= high) {
    mid = (high + low) / 2;

    if (target > numbers[mid]) {
      low = mid + 1;
    } else if (target < numbers[mid]) {
      high = mid - 1;
    } else {
      return mid;
    }
  }

  return -1;
}","int binary_search(int target, int numbers[], int size) {
  int low = 0;
  int high = size - 1;
  int mid = 0;
  while (low <= high) {
    mid = (high + low) / 2;

    if (target > numbers[mid]) {
      low = mid + 1;
    } else if (target < numbers[mid]) {
      high = mid - 1;
    } else {
      return mid;
    }
  }

  return -1;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Write a binary search function that works recursively, returning the index of the found item, or -1.",발견된 항목의 인덱스를 반환하는 이진 검색 함수를 재귀적으로 사용하거나 -1로 작성하세요.,"int binary_search_recur(int target, int numbers[], int low, int high) {
  if (low > high) {
    return -1;
  }

  int mid = (high + low) / 2;

  if (target > numbers[mid]) {
    return binary_search_recur(target, numbers, mid + 1, high);
  } else if (target < numbers[mid]) {
    return binary_search_recur(target, numbers, low, mid - 1);
  } else {
    return mid;
  }
}","int binary_search_recur(int target, int numbers[], int low, int high) {
  if (low > high) {
    return -1;
  }

  int mid = (high + low) / 2;

  if (target > numbers[mid]) {
    return binary_search_recur(target, numbers, mid + 1, high);
  } else if (target < numbers[mid]) {
    return binary_search_recur(target, numbers, low, mid - 1);
  } else {
    return mid;
  }
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In C or Python, Write a universal hashing function for a string, taking as arguments a string and the capacity of the hashtable.",C 또는 Python에서 문자열에 대한 범용 해싱 함수를 작성하고 문자열과 해시 테이블의 용량을 인수로 사용합니다.,"int hash(const char* key, const int m) {
  int hash = 0;

  for (int i = 0; i < key[i] != '\0'; ++i) {
    hash = hash * 31 + key[i];
  }

  return abs(hash % m);
}","int hash(const char* key, const int m) {
  int hash = 0;

  for (int i = 0; i < key[i] != '\0'; ++i) {
    hash = hash * 31 + key[i];
  }

  return abs(hash % m);
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Describe the universal hashing function for an integer. What arguments would it need? What would it look like?,정수에 대한 보편 해싱 함수를 설명하세요. 어떤 인수가 필요할까요? 어떤 모습일까요?,"/*
  key = the Key 
  a = random number from 1 to p-1
  b = random number from 0 to p-1
  p = a prime number >=m
  m = the size of the array
*/
int hash(int key, int a, int b, int p, int m) {
  return ((a * x + b) % p) % m;
}","/*
  key = the Key 
  a = random number from 1 to p-1
  b = random number from 0 to p-1
  p = a prime number >=m
  m = the size of the array
*/
int hash(int key, int a, int b, int p, int m) {
  return ((a * x + b) % p) % m;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a Binary Search Tree?,Binary Search Tree란 무엇인가요?,A binary tree is a data structure where each node has a comparable key and satisfies the restriction that the key in any node is larger than the keys in all nodes in that node's left subtree and smaller than the keys in all nodes in that node's right subtree.,"이진 트리는 각 노드가 비교 가능한 키를 가지고 있으며, 해당 노드의 키가 해당 노드의 왼쪽 하위 트리에 있는 모든 노드의 키보다 크고 해당 노드의 오른쪽 하위 트리에 있는 모든 노드의 키보다 작다는 제한을 만족하는 데이터 구조입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an AVL tree?,AVL Tree란 무엇인가요?,A BST where the height of every node and that of its sibling differ by at most 1.,각 노드의 높이와 형제 노드의 높이가 최대 1씩 다른 BST입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a red-black tree?,Red-Black Tree란 무엇인가요?,"BSTs having red and black links satisfying:
- Red links lean left
- No node has two links connected to it
- The tree has perfect black balance: every path from the root to a null link has the same number of blacks","빨간색과 검은색 링크가 만족하는 BST:
- 빨간색 링크가 왼쪽으로 기울어져 있습니다
- 두 개의 링크가 연결된 노드는 없습니다
- 나무는 완벽한 블랙 밸런스를 가지고 있습니다. 루트에서 널 링크까지의 모든 경로는 동일한 수의 블랙을 가지고 있습니다",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
